author,text,classification
@Michael-vh1re,These people are freaks!,1.0
@stephaniechapman2010,Ben Shapiro is correct.,0.0
@gregoryjones7189,I wish I was Ben for that moment. The coroner would have been pulling that dudes nuts out of â€œherâ€ mouth.,1.0
@countryroadstakemehome,"If you're the smartest one in the room, you're in the wrong room.",0.0
@countryroadstakemehome,"He'd never say that to someone that is a physical threat, cowardly.",1.0
@ronniefoster5099,Everyone in the room flunked biology except Ben.,1.0
@ronniefoster5099,Why would he go home in an ambulance?,0.0
@Orhams,He is disgusting with a disgusting ideology. ðŸ¤®,1.0
@sheismymom,"looks like a man, sounds like a man, physically violent",1.0
@alfredohernandez4187,So ambulance is going to take him home??! That thing is crazy!,0.0
@Steven-b5q3w,It's her you're not being polite to the pronouns ðŸ˜‚,0.0
@benidect5955,I only see Ben Shapiro standing for truth without fear while many people around there are fearful to stand for truth and choses to side on the foolishness.,0.0
@justaninksearcher,"I don't care what side you're on in this debate, what Zoe Tur did is not justified in any way
Also funnily enough, Caitlyn herself mostly agrees with Ben on this lol",0.0
@makeitname7656,"that dude crossdresser she is a man, male, gentleman",
@rheel6747,Is that Quagmires dad?,0.0
@tombritton3471,Was that threat from the man inside inside or what?,0.0
@D4NK1,"Ben wimped out. He can say whatever he wants on podcasts now. But he was like a deer in the headlights here.

The leader of the high school debate team sees what its like on the street in the real world.",0.0
@roberthobo4871,So that man can threaten ben shapiro and no charges or arrrest.  Lock up the loser.  He is a man and needs to grow up.  You dont treaten ppl with your arm around there neck....,1.0
@kittendivine1,"So fucked up that after someone puts their hands on someone else and threatens with physical violence, the hosts focus on the supposed rudeness of the person being threatened instead of condemning the threat.

This is identity politics gone too far. Trans person=victim no matter what. You disagree with something, you are a transphobe.",0.0
@fred01x,very hard to keep your male side hidden when annoyed lol,1.0
@Diaz0325,"This is crazy how this has gone this far, man is man woman is woman, thats it, ben kept calm, while the OTHER MAN threaten him, smh",0.0
@KT-qm3gx,Mr Zoey Turd is a fraud,1.0
@TheGamersGuide819,Ben is a legend . Thank God for him,0.0
@neilsdechamp,Still got that dog in you lol. Cant hide that.,1.0
@Dc-vp9im,Lmao you'll go home in a ambulance.,1.0
@ShanonRanginui,He got his cock chopped cause Diddy said he had too...,1.0
@tamarabrown6739,"""You knew what you said would incite violence""  so it's ok to be violent if someone hurts your feelings?",0.0
@taylordru7361,Iâ€™m sorry we are gonna need a replay on that. Being transgender is the bravest thing you can do?! Who dropped this man on his head?,0.0
@james654100,Bruce stole a legitimate Award for women. Lunacy. Sick.,1.0
@Crowbars2,"It's so funny that Ben said ""facts don't care about your feelings"" since Ben's arguing from emotion here, and the facts are completely against him on this.
 Ben should've said ""My feelings don't care about the facts.""",0.0
@MuSt4nG80,"Como cuando te sale el verdadero YO en ti: y haces un comentario totalmente de hombre/macho, y eso puedes verlo en la naturaleza, los hombres/machos al sentirnos que estamos 
perdiendo el control frente a otro macho, tratamos de recuperarlo a base de la fuerza bruta, y bueno aqui el chiste se cuenta solo: aqui shapiro le hubiera contestado: ya ves? al final 
se te salio el machito del que tanto estas tratando de desaparecer",0.0
@kwakusoul9904,"If America discusses this issue, then she is on the path to real decline. Smh.",0.0
@lorysmidt6592,"The most difficult thing you can do is being an actual mother with a dead child.   He needs to live in the real world! This MAN makes me sick!  Genetics are pushing a
 living person out of your own body!  I would like to this alleged woman who is actually a man perform this act!",0.0
@scottmooredrakoedragon9891,Should be titled man dressed as a woman threatens man who had the balls to say thatðŸ˜‚,1.0
@Hitslikeabich,Iâ€™ll call those freaks whatever I see them as,1.0
@markvilstrup4121,"Seriously though, I wish allt he worst for Zoey Tur. Truly set backt he transgender movement years by doing this. You don't get to respond to words with fists.
 If that's okay, then transgender people are going to be beaten down, left and right.",1.0
@shannonmundy1684,"If any man thinks he can be a woman he can forget about it!  I will pronounce the word HE, there's no way any man can ever experience what a woman experiences, 
from the first period, childbirth to menopause, if a biological man thinks he can be a woman FORGET ABOUT IT!!!! And I'm insulted at the idea of it. Grow your hair long, w
ear some pretty dresses, you are not a woman!!!",0.0
@gfelix3552,Because it is a damn delusion. Damn the USA really is becoming stupider as years go by. Sigh .....,1.0
@stevesquire2590,me I'd kicked his ass........,1.0
@Mp.k2day,It's absurd that they all flock to Tur's defense,0.0
@Mp.k2day,This man with a blonde wig,0.0
