new_comments,sentiment
people freak,1
ben shapiro correct,0
wish ben moment coroner would pull dude nuts mouth,1
smart one room wrong room,1
would never say someone physical threat cowardly,1
everyone room flunk biology except ben,0
would go home ambulance,1
disgust disgusting ideology,1
look like man sound like man physically violent,0
ambulance going take home thing crazy,1
polite pronoun,0
see ben shapiro stand truth without fear many people around fearful stand truth chose side foolishness,1
care side debate zoe tur justified way also funnily enough caitlyn mostly agree ben lol,0
dude crossdresser man male gentleman,0
quagmire dad,1
threat man inside inside,1
ben wimpe say whatever want podcast like deer headlight leader high school debate team see like street real world,0
man threaten ben shapiro charge arrr lock loser man need grow treaten people arm around neck,1
fuck someone put hand someone else threaten physical violence host focus suppose rudeness person threaten instead condemn threat identity politic go far trans personvictim matter disagree something transphobe,1
hard keep male side hide annoyed lol,1
crazy go far man man woman woman ben keep calm man threaten smh,1
mr zoey turd fraud,1
ben legend thank god,0
still get dog lol can not hide,0
lmao go home ambulance,0
get cock chop diddy say,1
know say would incite violence ok violent someone hurt feeling,1
I m sorry go need replay transgend brave thing drop man head,1
bruce steal legitimate award woman lunacy sick,1
funny ben say fact care feeling since ben argue emotion fact completely ben say feeling care fact,0
como cuando te sale el verdadero yo en ti hace un comentario totalmente de hombremacho eso puede verlo en la naturaleza los hombresmachos al sentirnos que estamos perdiendo el control frente otro macho tratamos de recuperarlo base de la fuerza bruta bueno aqui el chiste se cuenta solo aqui shapiro le hubiera contestado ya ves al final se te salio el machito del que tanto estas tratando de desaparecer,1
america discuss issue path real decline smh,1
difficult thing actual mother dead child need live real world man make sick genetic push live person body would like allege woman actually man perform act,1
title man dress woman threaten man ball say,1
ill call freak whatever see,1
seriously though wish allt bad zoey tur truly set backt transgender movement year get respond word fist okay transgender people going beat leave right,1
man think woman forget pronounce word way man ever experience woman experience first period childbirth menopause biological man think woman forget insult idea grow hair long wear pretty dress woman,1
damn delusion damn usa really become stupider year go sigh,1
would kick ass,1
absurd flock tur defense,1
man blonde wig,1
problem people always get emotional bcs solve inner conflict yet impossible talk already talk trans people solve conflict talk different understanding informative genderdysphoria joke complex understand due biology psychology go hand hand sadly going understand crowd soon,1
madam,0
joke people joke ben legend,0
transphobic find unnatural being I m trump supporter,0
would take care business right,0
mr shapiro sorry see threaten intectial discussion argument correct way turn man woman disguise hormone change person sex wish people would tell truth fact,1
male hormone income,1
ben right right,0
remember new,0
never see woman threaten man manner jennifer prove actually dude,1
grow brave thing protect family countrysuck people nowadays push sick gay agenda people kid schoolban sick shit medium shoukld give platform except wlay push get pay like zionist movement,1
americans foolish full grown man wake morning wear ladys gown prefer call woman addition use women bathroom play women sport throne women prison everyone room agree except one person everyone want kick foolish people womanman threaten people,1
shapiro little dude dude dress would got ass kick stage,1
ben repress homosexualwhy talk sooooo fast mental mysteryw,0
liberal mental case year ago man would put mental hospital heavily inject,0
sicko,1
like fact truththey delusional,0
bet ben feel like bang head wall,0
get ridiculous,1
year old remember kid someone imagine something else really like animal think someone else put mental institution like escape mental institution guess mental institution business anymore,0
truth potential solution gender debate gender debate pretty pointless really vocabulary gender first use originally refer grammatical category like language noun male female neuter eg russian table male car female window neuter be not gender start use human never mean describe biological sex refer role behavior identitie separate biology new concept though even ancient culture gender gender role time people start confuse gender sex thinking they re thing they re confusion come namespace collision use term like male female cause people argue trans woman really man that s miss pointgender person feel look identify sex biological say trans woman be not real biological sex mix definition sex gender term exist separately start whether transgend mental illness irrelevant propose namespace separate gender pronoun separate sex pronoun since biological namespace use word male female first get keep term gender namespace need word one way suffice potential suffice use ish like esque oid lean align present example maleish femalelike maleesque femaleoid maleleaning femalealigne malepresente perhaps even brand new suffix purposebuilt gender,1
man guy one man army right,0
red blood cell chromosome also like people xx chromosome get pregnant someone xy pregnant person cell chromosome go unexpressed ben shapiro do not understand genetic biological sex poli sci law degree neither biology,0
ben shapiro nut,1
shapiro speak real life comment,0
lmao you all worried want slick deal swiftly slickly stutter act fluster start bs disagree still remain disrespectful immediately actually proceed rude shit you all know wtf getting get ball dish well able lick tf,1
este es el problema de los maricones que quieren que todos seamos mariconera se mariconera pero deja los dems en paz cada cual que haga con su culo un tambor interaction shock absorber reduce physical discomfort ride allow ride comfortably city foldable convenient design deepower electric bike design se lo de tocar al que quiera,1
bring sean strickland see go ambulance,1
look like go delusional herd,0
go transgender brave thing come one brave shame less different,0
oh male energy exhibit sir,1
protect tran right,0
typical wake uneducated delusional behaviour yet surprise surprise threaten violence face truth,1
ben say insult fact,1
see male testerone come argument woman tell man go home ambulance absurd would never strong challenge male,0
ben shapiro big fan,0
shapiro aura,0
beni boi get excited,0
debate lose slander become tool loser actually threaten ben shapiro camera one person courage call disgusting,1
transgender brave thing try tell soldier past present future we eternally grateful sacrifice vehemently disagree atrocious statement,1
love ben shapiro lmao,0
remember have not lose mind pandemic,1
spit truth delusional yeah right,0
malely inappropriate would say,1
trans youtuber try make look good ben shapiro threaten honestly ben disrespectful do not deserve threaten like,0
soldier pretty brave give birth without epidural that s brave child stand another child that s bully that s brave putting dress make brave hyper sexualizing something fuck bedroom,0
train want call ill call abiding want hear favor coward,1
testosterone never leave,1
somebody tell truth rude stupid tran,1
like ben would enjoyed see play guarantee ben would humiliate,0
incredible nobody call dude dress put hand threaten another guest shapiro sue,1
internet make people comfortable talk shit get punch face,1
look man face man hand end near,0
male like live twilight zone people come,0
ben,0
,1
poor ben gang,1
funny,0
get angry man come lol,1
go home ambulance imagine kind attitude person join womans sport pageant,0
gurl mz thang,1
fact do not care feeling ben shapiro man legend,0
hitler big hate monger history people like shapiro want bring back doctrine hate like except move,1
say grown man husband father grandfathering brave strong instead wear dress lol,0
ben shapiro vs woman man crazy,1
guy threaten ben shapiro rude ashame,1
mrs doubtfire back day,1
ben shapiro person brain day room,0
ben shapiro person brain day room,0
get scamme dude voice start think narrator smth,1
say chromosome genetic matter entire argument go windownow neck deep bullshit,1
bruce man pos sit next ben man also,0
sad world admit shapiro one brain room opinion base pronoun matter crazy insane,1
oh see rude ok ben threaten physical violence man threaten woman like would uproar,1
woman say carry go home body bag man twice anotomical build say man people,0
bruce man man pretend woman man,1
fair fair fair fair fair fair get right threaten someone get feeling hurt,0
absolutely disgusting,1
one man army n destroy stupid illusion people,1
people understand regardless whether sex change still man still look like man come people stop stop sit panel call christian know god say abomination know god make man woman know go god,0
threaten violence like ladylike,1
bring saudi arabia,1
always hate bring people bear genetic disease case go surgery medicine feel like normal person tran people coopt rare condition use argument thi dilusion,1
women year time award prabably huge dissapointment woman achieve something great year feel really bad athlete certain sport boxing basically chance freak break record leave amd right weenie never pick ball thi life one make call,0
chromosome necessarily mean male female hell mean,1
always disgusting witness fail pretension put superior intellect corner perhaps transclown acolyte already take ride ambulance due selfinduced threat neurological nature ben shapiro waste time people spend time redefine else butt good,1
make threat get away,1
dr draw drop ball one would talk today would brave enough admit wrong,1
way woman would react matter do body know genetic respond accordingly,0
sick lord savior nothing brave,1
give honor sin pure evil courageous sinful perverted sexually immoral instead celebrate sin ashamed bible say glory shame sad hope repent,1
guy dress open threaten violence dipwad say fair misgendered violence never ever appropriate scenario like,0
room full delusional adult lol guy honest jew heck go stand trans openly post threat another person state opinion know america goner idiot run rampant lol,1
ambulance would take hospital home,0
zoe disgusting excuse human,1
ben shapiro become top g,0
love truth,0
disgust filthy man lady need prison,1
man dress ridiculous,1
nonsense either man woman guy like hear truth,1
anger toward shapiro clearly reveal he s straight man pretend woman I m sorry lesbian tomboy simply learn love beautiful female body accept sex realize I m well someone else change something ultimately make lose regret become extremely depressed self love baby,0
still show much man actually mr jenner prostate enough say,0
hahhahaha bruce get mad,1
freak,1
biological man male like boldness guy man right,0
threaten violence put hand neck masculine,1
male thing threaten someone go home ambulance ben would stand chance stop male hormone,1
man put huge ass bigfoot hand ben someone get tranquilizer dart gun zoo,1
actually ambulance never really take home emergency,1
linebacker jawline really help define overall feminine look,0
soooooootough turn hisself chicky,1
freaks act get way,1
brave lol people freak dillusional,0
heshe get upset discussion freak mental issue man insist dress like woman people make fun buy bullshit problem debator,1
call biological man man insult lord mercy idiot shapiro good join delusion,0
bruce still dick bruce still male bruce use maleness threaten another person want plead woman feel threaten bunch shit,1
one people stage support trans lie make themselfs look good agree man man like woman woman xx xy would tell delusional caitlynjenner want ass whip real man meet outside gen x talk act threat like,0
mam,1
person go jail asalit,0
america foreigner die nation lunacy,1
regardless view fact somebody allow act like tv shocking,1
black dude drug,1
i d pay top dollar see ben get ass whop man dress,1
man thing charge assault ben,1
person want call lawyert impersonation fraud,1
michael bolton,1
well threaten people sometimes go way think fortunately person try right one,0
cut go home ambulance shapiro clap medicare advantage hahaha,0
little boy sweat,1
ben would say pack sir put hand go box,0
ben goat you re man always man delusion fine,0
dick be not chick,1
care guy woman idiot need put place,1
zoey show maleness physical threat,1
zoey uneducate one say ambulance would take ben home do not go hospital,1
amazed shapiro tolerate weirdo touch shoulder back neck would tell perv get disgusting balltickler immediately,1
that s sad get grow man will not stand see man try act like woman fact dna make man,1
need courage freak,1
there s miss bloke zoey surname,1
right trans guy can not take threaten extreme violence,1
man threaten ben go home ambulance hear correct mr zoey brave thing world know accept man look like one one can not demand go eye see,0
mockery,1
genetic ben shapiro,1
sick man aggressive hero call man great sport man rubbish,1
erm actually identify doctor,0
ok call someone sir ok physically squeeze someone neck threaten great harm need ambulance sick twist individual ben right whole time people delusional,1
pig,1
well ladylike,0
ben panel would stand walk return leftbut thing itand say well deserve hah,0
polite pronoun wild,0
caitlyn jenner hero,0
find full interview,0
zoey prove male threaten send ben home ambulance man say shit,1
even invite ben know belief get upset express belief lol suppose safe space safe space code pro lgbtq space,0
like ben find radical aggressive thinking come across someone want help delusional people like matt walsh ben sound like enjoy torture humiliating think always right time right full arrogant offense voice annoy,1
threaten attack ben shapiro call guy side say basicly yea rude make threat violance jusitfie xd,1
bottom line man hate wake culture lie,1
brave brave tell freaking truth stop lie,0
agree ben,0
zoey violent person hormone surgery well,1
imagine second ben put hand caitlin shoulder oh lordy probably would charge,0
act like duck look like duck walk like duck duck do not matter much lipstick put man interaction confirm,0
man suddenly soo quick defend woman come trans people,0
dude womam,1
trans really still look like man dress say ben going send ambulance male say could see action thank ben act cool,0
manin dress,1
lady like end,0
guy mental health issue threaten shapiro infront everybody one anything wow,0
dude outta line ben,0
makeup could conceal toxic masculinity,1
believe billionaire identify one go bank get loan ask credit score proof income asset tell none since bear believed billionaire kick feel discriminate,0
look like woody harrelson anger management,1
shapiros mind go home ambulance,0
