new_comments,classification
people freak,1.0
ben shapiro correct,0.0
wish ben moment coroner would pull dude nut her_xd _ mouth,1.0
smart one room wrong room,0.0
would never say someone physical threat cowardly,1.0
everyone room flunk biology except ben,1.0
would go home ambulance,0.0
disgust disgusting ideology,1.0
look like man sound like man physically violent,1.0
ambulance going take home thing crazy,0.0
polite pronoun,0.0
see ben shapiro stand truth without fear many people around fearful stand truth chose side foolishness,0.0
care side debate zoe tur justified way also funnily enough caitlyn mostly agree ben lol,0.0
dude crossdresser man male gentleman,0.0
quagmire dad,0.0
threat man inside inside,0.0
ben wimpe say whatever want podcast like deer headlight leader high school debate team see like street real world,1.0
man threaten ben shapiro charge arrr lock loser man need grow treaten people arm around neck,1.0
fuck someone put hand someone else threaten physical violence host focus suppose rudeness person threaten instead condemn threat identity politic go far trans personvictim matter disagree something transphobe,1.0
hard keep male side hide annoyed lol,1.0
crazy go far man man woman woman ben keep calm man threaten smh,0.0
mr zoey turd fraud,1.0
ben legend thank god,0.0
still get dog lol can not hide,1.0
lmao go home ambulance,0.0
get cock chop diddy say,1.0
know say would incite violence ok violent someone hurt feeling,0.0
I m sorry go need replay transgend brave thing drop man head,0.0
bruce steal legitimate award woman lunacy sick,1.0
funny ben say fact care feeling since ben argue emotion fact completely ben say feeling care fact,0.0
como cuando te sale el verdadero yo en ti hace un comentario totalmente de hombremacho eso puede verlo en la naturaleza los hombresmachos al sentirnos que estamos perdiendo el control frente otro macho tratamos de recuperarlo base de la fuerza bruta bueno aqui el chiste se cuenta solo aqui shapiro le hubiera contestado ya ves al final se te salio el machito del que tanto estas tratando de desaparecer,0.0
america discuss issue path real decline smh,1.0
difficult thing actual mother dead child need live real world man make sick genetic push live person body would like allege woman actually man perform act,1.0
title man dress woman threaten man ball say,1.0
ill call freak whatever see,1.0
seriously though wish allt bad zoey tur truly set backt transgender movement year get respond word fist okay transgender people going beat leave right,1.0
man think woman forget pronounce word way man ever experience woman experience first period childbirth menopause biological man think woman forget insult idea grow hair long w ear pretty dress woman,0.0
damn delusion damn usa really become stupider year go sigh,1.0
would kick ass,1.0
absurd flock tur defense,1.0
man blonde wig,0.0
problem people always get emotional bcs solve inner conflict yet impossible talk already talk trans people solve conflict talk different understanding informative genderdysphoria joke complex understand due biology psychology go hand hand sadly going understand crowd soon,1.0
madam,0.0
joke people joke ben legend,1.0
transphobic find unnatural being I m trump supporter,1.0
would take care business right,0.0
mr shapiro sorry see threaten intectial discussion argument correct way turn man woman disguise hormone change person sex wish people would tell truth fact,0.0
male hormone income,1.0
ben right right,0.0
remember new,0.0
never see woman threaten man manner jennifer prove actually dude,1.0
grow brave thing protect family countrysuck people nowadays push sick gay agenda people kid schoolban sick shit medium shoukld give platform except wlay push get pay like zionist movement,1.0
americans foolish full grown man wake morning wear ladys gown prefer call woman addition use women bathroom play women sport throne women prison everyone room agree except one person everyone want kick foolish people womanman threaten people,1.0
shapiro little dude dude dress would got ass kick stage,1.0
ben repress homosexualwhy talk sooooo fast mental mystery w,1.0
liberal mental case year ago man_xd _ would put mental hospital heavily inject,1.0
sicko,1.0
like fact truththey delusional,1.0
bet ben feel like bang head wall,1.0
get ridiculous,1.0
year old remember kid someone imagine something else really like animal think someone else put mental institution like escape mental institution guess mental institution business anymore,1.0
